App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Keypad Lock Screen,TOOLS,4.2,428581,4.7,10000000.0,Free,0.0,Everyone,Tools,2018-07-17,1.33,4.0
photo keypad lockscreen,TOOLS,4.1,225544,8.1,10000000.0,Free,0.0,Everyone,Tools,2018-07-17,3.1.2,4.0
Solo Locker (DIY Locker),TOOLS,4.5,474439,7.9,10000000.0,Free,0.0,Everyone,Tools,2018-06-26,6.1.7.5,4.2
Lock Screen,TOOLS,4.0,41137,4.6,1000000.0,Free,0.0,Everyone,Tools,2017-11-15,1.7.3,3.2
ZERO Lock Screen,TOOLS,3.5,75336,0.53125,1000000.0,Free,0.0,Everyone,Tools,2016-02-05,1.3,4.0
AppLock - Fingerprint,TOOLS,4.4,745245,3.5,10000000.0,Free,0.0,Everyone,Tools,2018-04-13,7.2.0,2.3
Screen Off and Lock,TOOLS,4.1,172990,0.5126953125,10000000.0,Free,0.0,Everyone,Tools,2017-12-02,1.17.4,2.2
Screen Lock,TOOLS,4.2,68309,2.1,1000000.0,Free,0.0,Everyone,Tools,2017-11-23,3.9,4.0
Funny Ringtones,PERSONALIZATION,4.4,7146,14.0,1000000.0,Free,0.0,Everyone 10+,Personalization,2018-02-02,1.1,4.0
"XOS - Launcher,Theme,Wallpaper",PERSONALIZATION,4.6,49657,8.7,5000000.0,Free,0.0,Everyone,Personalization,2018-08-06,3.6.21,4.4
3D Live Neon Weed Launcher,PERSONALIZATION,4.5,1724,21.0,100000.0,Free,0.0,Mature 17+,Personalization,2018-06-26,5.34.10,4.0.3
Golden Launcher,PERSONALIZATION,4.4,32794,12.0,5000000.0,Free,0.0,Everyone,Personalization,2018-07-31,1.284.1.83,4.2
Launcher,PERSONALIZATION,4.5,102923,18.0,1000000.0,Free,0.0,Everyone,Personalization,2018-07-10,2.1.2,5.0
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,4.6,6702776,17.0,100000000.0,Free,0.0,Teen,Personalization,2018-08-03,5.41.0,4.0.3
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,4.6,7583,3.8,500000.0,Free,0.0,Everyone 10+,Personalization,2018-07-04,2.6.2.1,4.0.3
Birds Sounds Ringtones & Wallpapers,PERSONALIZATION,4.6,5073,23.0,1000000.0,Free,0.0,Everyone 10+,Personalization,2017-09-25,1.1,4.0
Funny Alarm Clock Ringtones,PERSONALIZATION,4.5,15633,14.0,1000000.0,Free,0.0,Everyone,Personalization,2017-03-09,1.1,4.0.3
"Color Call - Caller Screen, LED Flash",PERSONALIZATION,4.7,29485,9.9,1000000.0,Free,0.0,Everyone,Personalization,2018-07-20,1.0.4,4.0
New Launcher 2018,PERSONALIZATION,4.4,142393,12.0,10000000.0,Free,0.0,Everyone,Personalization,2018-07-31,1.284.1.126,4.2
Diamond Zipper Lock Screen,PERSONALIZATION,4.3,71688,12.0,10000000.0,Free,0.0,Everyone,Personalization,2018-06-11,3.5,4.1
"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",PERSONALIZATION,4.7,114851,20.0,10000000.0,Free,0.0,Everyone,Personalization,2018-07-20,2.1.9,4.1
3D Blue Glass Water Keyboard Theme,PERSONALIZATION,4.1,62209,7.4,10000000.0,Free,0.0,Everyone,Personalization,2018-07-01,6.7.1,4.0.3
Backgrounds (HD Wallpapers),PERSONALIZATION,4.7,202474,3.0,10000000.0,Free,0.0,Teen,Personalization,2017-08-09,2.6.0,4.0
New 2018 Keyboard,PERSONALIZATION,4.6,298321,14.0,10000000.0,Free,0.0,Everyone,Personalization,2018-08-05,2.5.5.9,4.2
"APUS Launcher - Theme, Wallpaper, Hide Apps",PERSONALIZATION,4.5,5783441,14.0,100000000.0,Free,0.0,Everyone,Personalization,2018-08-06,3.9.7,4.0.3
ZenUI Themes – Stylish Themes,PERSONALIZATION,4.4,47393,7.2,10000000.0,Free,0.0,Everyone,Personalization,2018-05-24,1.8.0.24,5.0
"Keyboard - wallpapers , photos",PERSONALIZATION,4.4,55525,22.0,10000000.0,Free,0.0,Everyone,Personalization,2018-02-26,1.2.7,4.0
Lovely Cute Pink Kitty Cat Keyboard Theme,PERSONALIZATION,4.3,2267,7.2,500000.0,Free,0.0,Everyone,Personalization,2018-07-09,6.7.5,4.0.3
Microsoft Launcher,PERSONALIZATION,4.6,649568,26.0,10000000.0,Free,0.0,Everyone,Personalization,2018-08-01,4.12.0.44682,4.2
Goku Wallpaper Art,PERSONALIZATION,4.7,6342,38.0,1000000.0,Free,0.0,Everyone,Personalization,2018-07-13,1.8,4.1
Door Lock Screen,PERSONALIZATION,4.3,5413,3.9,1000000.0,Free,0.0,Everyone,Personalization,2018-07-28,3.3.,4.0
Cute wallpapers & kawaii backgrounds images,PERSONALIZATION,4.6,4724,5.4,1000000.0,Free,0.0,Everyone,Personalization,2018-07-30,1.2,4.0.3
ASUS Cover for ZenFone 2,PERSONALIZATION,4.4,43960,9.8,10000000.0,Free,0.0,Everyone,Personalization,2017-12-01,2.0.0.39,5.0
"Hola Launcher- Theme,Wallpaper",PERSONALIZATION,4.5,3277209,7.6,100000000.0,Free,0.0,Everyone,Personalization,2018-05-09,3.2.5,4.0
OnePlus Icon Pack - Square,PERSONALIZATION,4.7,229,1.1,500000.0,Free,0.0,Everyone,Personalization,2018-05-23,1.9.1.180419172630.4,5.0
Live 3D Neon Blue Love Heart Keyboard Theme,PERSONALIZATION,4.3,6626,9.1,1000000.0,Free,0.0,Everyone,Personalization,2018-07-25,6.7.25.2018,4.0.3
Pink Diamond Princess Keyboard Theme,PERSONALIZATION,3.7,10796,6.8,1000000.0,Free,0.0,Everyone,Personalization,2018-07-06,6.7.5,4.0.3
"Wallpapers HD, 4K Backgrounds",PERSONALIZATION,4.7,273994,12.0,10000000.0,Free,0.0,Everyone,Personalization,2018-07-23,2.3.27,4.4
Photo Lock App - Hide Pictures & Videos,PERSONALIZATION,4.5,29203,3.3,5000000.0,Free,0.0,Everyone,Personalization,2017-12-10,40.0,4.0
Romantic Love Photo Frames,PERSONALIZATION,4.4,18918,12.0,5000000.0,Free,0.0,Everyone,Personalization,2018-06-19,1.14,4.0
Colorful Glitter Neon Butterfly Keyboard Theme,PERSONALIZATION,4.3,2056,9.8,500000.0,Free,0.0,Everyone,Personalization,2018-07-25,6.7.24.2018,4.0.3
OnePlus Icon Pack,PERSONALIZATION,4.8,440,0.8984375,500000.0,Free,0.0,Everyone,Personalization,2018-05-23,1.9.2.180419172639.,5.0
Water Garden Live Wallpaper,PERSONALIZATION,4.6,66453,14.0,5000000.0,Free,0.0,Everyone,Personalization,2018-04-10,1.57,2.3
Water Droplets Keyboard Theme,PERSONALIZATION,4.1,398,6.8,100000.0,Free,0.0,Everyone,Personalization,2018-06-29,6.6.28,4.0.3
"FUN Keyboard – Emoji Keyboard, Sticker,Theme & GIF",PERSONALIZATION,4.7,12089,27.0,500000.0,Free,0.0,Everyone,Personalization,2018-07-03,1.2.5,4.0
Freeme Launcher—Stylish Theme,PERSONALIZATION,4.1,2828,7.4,100000.0,Free,0.0,Everyone,Personalization,2017-01-22,2.11.5,4.1
Ringtones & Wallpapers for Me,PERSONALIZATION,4.2,89342,29.0,10000000.0,Free,0.0,Everyone,Personalization,2018-01-30,1.13,4.1
Zooper Widget,PERSONALIZATION,4.0,30498,5.9,1000000.0,Free,0.0,Everyone,Personalization,2015-03-11,2.60,3.2
Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14.0,1000000.0,Paid,2.49,Everyone,Personalization,2016-08-24,5.7.8,2.3
Beautiful Widgets Free,PERSONALIZATION,3.9,25037,14.0,1000000.0,Free,0.0,Everyone,Personalization,2016-10-20,5.7.6,2.3
HD Widgets,PERSONALIZATION,4.3,58617,26.0,1000000.0,Paid,0.99,Everyone,Personalization,2016-12-07,4.3.2,4.4
DashClock Widget,PERSONALIZATION,4.1,62301,1.9,1000000.0,Free,0.0,Everyone,Personalization,2016-05-11,1.7.2,4.2
Fancy Widgets,PERSONALIZATION,4.2,37237,3.9,5000000.0,Free,0.0,Everyone,Personalization,2014-04-04,3.5.6,1.6
Kairo XP (for HD Widgets),PERSONALIZATION,4.4,1591,0.7607421875,10000.0,Paid,0.99,Everyone,Personalization,2015-01-07,1.1,4.0.3
Best Wallpapers QHD,PERSONALIZATION,4.4,294701,5.1,10000000.0,Free,0.0,Teen,Personalization,2018-03-17,2.85,4.0.3
Dog Licks Screen Wallpaper,PERSONALIZATION,4.3,63624,10.0,5000000.0,Free,0.0,Everyone,Personalization,2017-11-20,11.0,4.0.3
Waterfall Live Wallpaper,PERSONALIZATION,4.1,112977,13.0,10000000.0,Free,0.0,Everyone,Personalization,2018-05-22,3.6,4.1
Galaxy Live Wallpaper,PERSONALIZATION,4.2,58052,4.0,5000000.0,Free,0.0,Teen,Personalization,2017-09-14,1.1.8,2.3.3
Northern Lights FREE (Aurora),PERSONALIZATION,4.1,12180,5.4,1000000.0,Free,0.0,Everyone,Personalization,2016-12-24,1.3,2.1
Flowers Live Wallpaper,PERSONALIZATION,4.1,118459,3.3,10000000.0,Free,0.0,Everyone,Personalization,2017-10-27,4.0,4.1
Petals 3D live wallpaper,PERSONALIZATION,4.2,112479,4.3,10000000.0,Free,0.0,Everyone,Personalization,2018-07-25,3.0.5,4.2
Galactic Core Free Wallpaper,PERSONALIZATION,4.1,69417,0.8330078125,10000000.0,Free,0.0,Everyone,Personalization,2014-05-01,2.41,2.1
LINE Launcher,PERSONALIZATION,4.4,733838,21.0,10000000.0,Free,0.0,Everyone,Personalization,2018-06-29,2.4.25,4.0.3
Asteroids 3D live wallpaper,PERSONALIZATION,4.1,157495,6.4,10000000.0,Free,0.0,Everyone,Personalization,2018-07-24,4.0.0.7,4.4
Sun Rise Free Live Wallpaper,PERSONALIZATION,4.3,86481,8.6,10000000.0,Free,0.0,Everyone,Personalization,2018-01-31,4.8.3,4.0
Wallpapers HD,PERSONALIZATION,4.6,484981,2.1,10000000.0,Free,0.0,Everyone,Personalization,2016-11-28,1.7.1,3.0
Tiger Live Wallpaper,PERSONALIZATION,4.1,77724,7.1,5000000.0,Free,0.0,Teen,Personalization,2018-05-31,2.7.2,4.0
Pink Roses Live Wallpaper,PERSONALIZATION,4.2,33074,3.3,1000000.0,Free,0.0,Everyone,Personalization,2018-05-04,4.1,4.1
Butterfly Live Wallpaper,PERSONALIZATION,4.1,35771,3.5,5000000.0,Free,0.0,Everyone,Personalization,2018-05-04,4.1,4.1
Koi Free Live Wallpaper,PERSONALIZATION,4.2,290241,4.1,50000000.0,Free,0.0,Everyone,Personalization,2014-06-24,1.9,2.1
Wallpaper,PERSONALIZATION,4.5,69488,9.7,1000000.0,Free,0.0,Everyone,Personalization,2018-07-08,6.07,4.1
Wolves Live Wallpaper,PERSONALIZATION,4.3,10401,3.3,1000000.0,Free,0.0,Everyone,Personalization,2017-10-27,7.5,4.1
Horses Live Wallpaper,PERSONALIZATION,4.2,28806,7.1,1000000.0,Free,0.0,Everyone,Personalization,2018-05-22,18.0,4.1
Tropical Beach Live Wallpaper,PERSONALIZATION,4.0,11343,8.4,1000000.0,Free,0.0,Everyone,Personalization,2018-05-22,18.0,4.1
Glowing Flowers Live Wallpaper,PERSONALIZATION,4.2,66730,7.0,5000000.0,Free,0.0,Everyone,Personalization,2018-05-21,18.0,4.1
Dolphins Live Wallpaper,PERSONALIZATION,4.2,25807,5.5,1000000.0,Free,0.0,Everyone,Personalization,2017-10-29,15.0,4.1
Buzz Launcher-Smart&Free Theme,PERSONALIZATION,4.4,251616,13.0,10000000.0,Free,0.0,Everyone,Personalization,2017-11-13,1.9.7.07,4.0.3
BIG Launcher,PERSONALIZATION,4.3,881,5.9,10000.0,Paid,9.99,Everyone,Personalization,2018-06-20,2.5.9,2.1
"iKeyboard - emoji, emoticons",PERSONALIZATION,4.5,624924,24.0,10000000.0,Free,0.0,Everyone,Personalization,2018-08-01,4.8.2.2195,4.1
Simple Neon Blue Future Tech Keyboard Theme,PERSONALIZATION,4.1,51145,6.2,10000000.0,Free,0.0,Everyone,Personalization,2018-06-28,1,4.0.3
TouchPal Purple Butterfly Theme,PERSONALIZATION,4.2,7435,6.9,1000000.0,Free,0.0,Everyone,Personalization,2018-06-28,1,4.0.3
Lavender Emoji Keyboard Theme,PERSONALIZATION,4.1,12008,6.1,1000000.0,Free,0.0,Everyone,Personalization,2016-05-27,5.0,4.0
Microsoft Word,PRODUCTIVITY,4.5,2084126,11.0,500000000.0,Free,0.0,Everyone,Productivity,2018-07-11,16.0.10325.20043,4.4
"AVG Cleaner – Speed, Battery & Memory Booster",PRODUCTIVITY,4.4,1188154,24.0,10000000.0,Free,0.0,Everyone,Productivity,2018-06-14,4.6.4,4.1
QR Scanner & Barcode Scanner 2018,PRODUCTIVITY,3.8,8226,4.1,10000000.0,Free,0.0,Everyone,Productivity,2018-07-20,1.8.4,4.4
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50.0,100000000.0,Free,0.0,Everyone,Productivity,2018-08-02,2.2.194,4.4
Microsoft Excel,PRODUCTIVITY,4.5,1079491,11.0,100000000.0,Free,0.0,Everyone,Productivity,2018-07-14,16.0.10325.20059,4.4
My Claro Peru,PRODUCTIVITY,3.2,11200,11.0,5000000.0,Free,0.0,Everyone,Productivity,2018-07-23,3.1.1,4.4
Power Booster - Junk Cleaner & CPU Cooler & Boost,PRODUCTIVITY,4.5,9653,5.1,1000000.0,Free,0.0,Everyone,Productivity,2018-08-06,1.2.5,4.1
Google Assistant,PRODUCTIVITY,4.2,58675,1.3,10000000.0,Free,0.0,Everyone,Productivity,2018-03-09,0.1.187945513,5.0
Microsoft OneNote,PRODUCTIVITY,4.4,480643,11.0,100000000.0,Free,0.0,Everyone,Productivity,2018-07-22,16.0.10325.20024,4.4
Archos File Manager,PRODUCTIVITY,4.0,2131,2.3,5000000.0,Free,0.0,Everyone,Productivity,2016-04-22,4.1.4,4.1
ES File Explorer File Manager,PRODUCTIVITY,4.6,5383985,16.0,100000000.0,Free,0.0,Everyone,Productivity,2018-08-03,4.1.8.2.2,4.0
MyMTN,PRODUCTIVITY,4.0,8550,15.0,1000000.0,Free,0.0,Everyone,Productivity,2018-07-25,2.1.5,4.0
ASUS Quick Memo,PRODUCTIVITY,4.5,23089,1.6,10000000.0,Free,0.0,Everyone,Productivity,2018-04-11,1.10.0.33,5.0
lifebox,PRODUCTIVITY,4.2,56403,49.0,5000000.0,Free,0.0,Everyone,Productivity,2018-07-27,4.0.5,4.4
Content Transfer,PRODUCTIVITY,4.7,19302,7.2,5000000.0,Free,0.0,Everyone,Productivity,2018-06-28,3.5.12,4.0.3
Advanced Task Killer,PRODUCTIVITY,4.4,577059,1.5,50000000.0,Free,0.0,Everyone,Productivity,2016-08-07,2.2.1,2.3.3
Microsoft PowerPoint,PRODUCTIVITY,4.5,618798,11.0,100000000.0,Free,0.0,Everyone,Productivity,2018-07-11,16.0.10325.20043,4.4
Microsoft Translator,PRODUCTIVITY,4.6,209696,49.0,5000000.0,Free,0.0,Everyone,Productivity,2018-06-18,3.2.258,4.3
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",PRODUCTIVITY,4.3,1498393,14.0,50000000.0,Free,0.0,Everyone,Productivity,2018-08-02,4.3.2.0,4.2
Hacker's Keyboard,PRODUCTIVITY,4.4,41418,1.2,1000000.0,Free,0.0,Everyone,Productivity,2016-12-11,1.39.3,2.2
Security & Privacy,PRODUCTIVITY,4.0,212,10.0,1000000.0,Free,0.0,Everyone,Productivity,2018-04-26,5.0.44,4.1
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.4,6011,4.3,500000.0,Free,0.0,Everyone,Productivity,2015-12-19,3.2.1,4.1
Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3.8,1000000.0,Free,0.0,Everyone,Productivity,2018-05-23,1.7.9,4.0.3
Keeper: Free Password Manager & Secure Vault,PRODUCTIVITY,4.2,74146,32.0,10000000.0,Free,0.0,Everyone,Productivity,2018-07-16,12.1.0,4.4
Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4.5,1000000.0,Free,0.0,Everyone,Productivity,2017-10-30,17.7.20,4.1
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270,8.4,1000000.0,Free,0.0,Everyone,Productivity,2018-03-23,4.4.1,4.0
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999,12.0,10000000.0,Free,0.0,Everyone,Productivity,2018-08-05,12.8.2,4.4
Cozi Family Organizer,PRODUCTIVITY,4.4,56713,25.0,1000000.0,Free,0.0,Everyone,Productivity,2018-07-05,9.3.5776,4.1
Trello,PRODUCTIVITY,4.5,72513,12.0,5000000.0,Free,0.0,Everyone,Productivity,2018-07-18,5.0.1.11068,5.0
Easy Voice Recorder,PRODUCTIVITY,4.4,205191,7.1,10000000.0,Free,0.0,Everyone,Productivity,2018-06-20,2.4.5,4.1
Solid Explorer Classic,PRODUCTIVITY,4.5,49794,6.5,1000000.0,Free,0.0,Everyone,Productivity,2017-06-17,1.7.3,2.3
File Browser by Astro (File Manager),PRODUCTIVITY,4.3,609182,9.2,50000000.0,Free,0.0,Everyone,Productivity,2018-07-02,6.4.0,4.0
File Explorer,PRODUCTIVITY,4.1,979,0.703125,100000.0,Free,0.0,Everyone,Productivity,2013-09-30,2.1.3,2.2
The Maner,PRODUCTIVITY,4.2,53015,2.2,5000000.0,Free,0.0,Everyone,Productivity,2017-11-12,2.2.2,2.3
Solid Explorer File Manager,PRODUCTIVITY,4.6,67523,11.0,1000000.0,Free,0.0,Everyone,Productivity,2018-07-19,2.5.4,4.1
Smart File Manager,PRODUCTIVITY,4.2,17415,4.1,1000000.0,Free,0.0,Everyone,Productivity,2018-07-05,3.5.9,4.0
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60.0,10000000.0,Free,0.0,Everyone,Productivity,2018-07-18,7.3.30,4.1
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4.5,1508137,37.0,100000000.0,Free,0.0,Everyone,Productivity,2018-07-30,11.1.3,4.0
Simple Notepad,PRODUCTIVITY,4.3,12321,0.6962890625,1000000.0,Free,0.0,Everyone,Productivity,2016-12-25,2.0.1,2.3
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,4.7,5000000.0,Free,0.0,Everyone,Productivity,2018-03-16,1.35.2,2.3.3
Sticky Note + : Sync Notes,PRODUCTIVITY,4.2,21507,6.6,1000000.0,Free,0.0,Everyone,Productivity,2017-08-31,13.4,4.0
Notepad,PRODUCTIVITY,4.2,80581,2.5,10000000.0,Free,0.0,Everyone,Productivity,2016-10-16,2.4,2.3
Squid - Take Notes & Markup PDFs,PRODUCTIVITY,4.2,37204,19.0,1000000.0,Free,0.0,Everyone,Productivity,2018-07-21,3.4.4.4,4.0
Notepad & To do list,PRODUCTIVITY,4.3,226295,4.2,10000000.0,Free,0.0,Everyone,Productivity,2018-06-06,4.3.19,2.3.3
"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,4.6,57904,11.0,1000000.0,Free,0.0,Everyone,Productivity,2018-07-01,12.8.2,4.2
Calendar+ Schedule Planner App,PRODUCTIVITY,4.0,8985,5.7,1000000.0,Free,0.0,Everyone,Productivity,2017-01-16,1.07.59,4.0.3
Today Calendar 2017,PRODUCTIVITY,4.2,16349,9.0,1000000.0,Free,0.0,Everyone,Productivity,2016-04-25,4.0.7.3,4.1
New Calendar,PRODUCTIVITY,4.5,25985,6.9,1000000.0,Free,0.0,Everyone,Productivity,2018-07-20,1.0.167,4.0.3
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1.9,5000000.0,Free,0.0,Everyone,Productivity,2018-05-31,1.26.2,4.0.3
Business Calendar 2,PRODUCTIVITY,4.6,102594,15.0,5000000.0,Free,0.0,Everyone,Productivity,2018-07-23,2.30.1,4.1
Unclouded - Cloud Manager,PRODUCTIVITY,4.1,6850,11.0,100000.0,Free,0.0,Everyone,Productivity,2016-08-08,2.3.3,4.1
Amazon Drive,PRODUCTIVITY,4.4,18669,4.1,1000000.0,Free,0.0,Everyone,Productivity,2018-01-08,1.9.1.147.0,4.2
SugarSync,PRODUCTIVITY,4.1,16420,3.8,1000000.0,Free,0.0,Everyone,Productivity,2018-05-16,4.4.0.4,2.3.3
MediaFire,PRODUCTIVITY,4.1,71432,3.8,5000000.0,Free,0.0,Everyone,Productivity,2017-11-01,4.2.2,4.1
Baby Names,PARENTING,4.5,86,2.8,10000.0,Free,0.0,Everyone,Parenting,2018-08-03,1.7,4.0.3
Zoo For Preschool Kids 3-9 Years,PARENTING,4.17505184823716,76,8.2,10000.0,Free,0.0,Everyone,Parenting;Education,2018-04-24,1.0.7,4.0
My baby Game (Balloon POP!),PARENTING,3.8,3614,3.3,1000000.0,Free,0.0,Everyone,Parenting;Brain Games,2018-05-28,2.15.2714,4.0
Arabic Alphabets,PARENTING,4.17505184823716,34,6.2,10000.0,Free,0.0,Everyone,Parenting,2017-01-09,1.0,2.2
Learn the letters and words,PARENTING,4.17505184823716,31,85.0,10000.0,Free,0.0,Everyone,Parenting;Education,2018-06-15,3.2,4.0.3
Development of the child up to a year,PARENTING,4.6,1413,14.0,100000.0,Free,0.0,Mature 17+,Parenting,2018-07-20,2.9.9,4.1
Favorite children's songs,PARENTING,4.7,39,95.0,10000.0,Free,0.0,Everyone,Parenting,2018-07-06,1.2.5,4.2
Ali Baba's Farm Tutorial Kids Games,PARENTING,4.17505184823716,36,5.5,5000.0,Free,0.0,Everyone,Parenting,2018-05-27,4.7,4.1
Baby Panda Learns Shapes,PARENTING,4.0,3789,42.0,1000000.0,Free,0.0,Everyone,Parenting;Education,2018-06-21,8.25.10.00,4.0.3
Learning English for children,PARENTING,4.17505184823716,67,15.0,50000.0,Free,0.0,Everyone,Parenting;Education,2018-04-18,1.9,2.3
Mozart Baby Sleep,PARENTING,4.7,107,98.0,50000.0,Free,0.0,Teen,Parenting,2018-07-09,1.4.0,4.2
Kids Videos,PARENTING,4.1,559,6.4,100000.0,Free,0.0,Everyone,Parenting,2018-05-20,1.3.1,4.1
My baby firework,PARENTING,3.7,4976,2.8,1000000.0,Free,0.0,Everyone,Parenting;Education,2018-05-28,2.04.2714,4.0
We learn children's verses in kindergarten,PARENTING,4.17505184823716,3248,6.5,100000.0,Free,0.0,Everyone,Parenting;Education,2017-12-20,2.10,4.0
Baby Food - Homemade Recipes,PARENTING,4.1,44,3.6,10000.0,Free,0.0,Everyone,Parenting,2018-08-07,8.2,4.0.3
My baby Phone,PARENTING,3.7,9293,2.4,1000000.0,Free,0.0,Everyone,Parenting,2018-05-28,2.03.2714,4.0
Baby Sleep: White noise lullabies for newborns,PARENTING,4.6,62386,3.4,1000000.0,Free,0.0,Everyone,Parenting,2018-06-12,2.7,4.0
Arabic Chat - Chat,PARENTING,4.4,162,1.5,10000.0,Free,0.0,Everyone,Parenting,2018-05-01,1.0,4.1
BookBaby - Baby Development,PARENTING,4.6,1002,5.0,50000.0,Free,0.0,Everyone,Parenting,2016-08-18,3.0,4.0.3
Kids Craft Ideas,PARENTING,4.1,99,6.6,10000.0,Free,0.0,Everyone,Parenting,2018-03-29,1.1,4.1
Child Growth Tracking,PARENTING,4.4,498,11.0,50000.0,Free,0.0,Everyone,Parenting,2018-07-25,1.5.3.1807,4.4
Educational Children's Songs,PARENTING,4.17505184823716,163,59.0,100000.0,Free,0.0,Everyone,Parenting,2018-08-05,1.2,4.0.3
How do I take care of my child?,PARENTING,4.8,190,6.8,100000.0,Free,0.0,Everyone,Parenting,2018-06-24,1.5,4.0
Baby Name Together,PARENTING,4.0,464,24.0,100000.0,Free,0.0,Everyone,Parenting,2018-08-06,2.3.1,5.0
White Noise for Baby,PARENTING,4.9,717,6.6,100000.0,Free,0.0,Everyone,Parenting,2017-12-30,1.6.0,4.1
Favorite Soviet cartoons,PARENTING,4.17505184823716,63,4.9,10000.0,Free,0.0,Everyone,Parenting,2018-05-24,1.0.6,4.0
The first year of a baby's life,PARENTING,4.8,7505,9.1,100000.0,Free,0.0,Everyone,Parenting,2017-01-07,1.1.27.477,2.3
Safe365 – Cell Phone GPS Locator For Your Family,PARENTING,4.4,11501,11.0,1000000.0,Free,0.0,Everyone,Parenting,2018-07-30,3.7.1,4.0.3
Listen to the story~The Story of the Fairy Tales,PARENTING,4.7,69,5.8,5000.0,Free,0.0,Everyone,Parenting,2018-07-10,1.0.6,4.0.3
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",PARENTING,4.2,2715,24.0,500000.0,Free,0.0,Everyone,Parenting;Music & Video,2018-07-24,3.14,5.0
"Kids Fang - Infant Videos, Children's Songs, Fairy Tales, Lullaby Collections",PARENTING,4.6,349,4.4,100000.0,Free,0.0,Everyone,Parenting,2018-03-21,1.7,4.4
PPS Online,PARENTING,4.6,37,16.0,10000.0,Free,0.0,Everyone,Parenting,2018-07-09,3.19,4.0.3
Johny Johny Yes Papa Nursery Rhyme - offline Video,PARENTING,4.5,806,11.0,500000.0,Free,0.0,Everyone,Parenting,2018-08-04,4.2,4.0.3
Baby Care & Tracker,PARENTING,4.1,319,11.0,100000.0,Free,0.0,Everyone,Parenting,2018-07-12,5.3,4.0.3
Urban Limo Taxi Simulator,PARENTING,3.8,824,53.0,1000000.0,Free,0.0,Everyone,Parenting,2018-08-02,8.9,4.0.3
Rainbow - Journal & Activities,PARENTING,4.8,6668,20.0,100000.0,Free,0.0,Everyone,Parenting,2018-03-28,2.5.9,4.1
Classical music for baby,PARENTING,4.8,1940,38.0,100000.0,Free,0.0,Everyone,Parenting;Music & Video,2018-07-18,1.04,4.2
How do I care about my child?,PARENTING,4.17505184823716,34,4.9,10000.0,Free,0.0,Everyone,Parenting,2018-07-03,1.2,4.0
My Child from eDziecko.pl,PARENTING,4.5,1025,17.0,100000.0,Free,0.0,Everyone,Parenting,2018-06-29,1.3.9,4.1
Baby Panda Musical Genius,PARENTING,4.0,3346,37.0,1000000.0,Free,0.0,Everyone,Parenting;Music & Video,2018-06-15,8.25.10.00,4.0.3
Baby Monitor,PARENTING,4.4,5343,5.2,1000000.0,Free,0.0,Everyone,Parenting,2018-03-30,2.1.1,4.1
Daniel Tiger for Parents,PARENTING,4.7,247,28.0,100000.0,Free,0.0,Everyone,Parenting;Music & Video,2018-03-19,1.3.0,4.4
Voice Tables - no internet,PARENTING,4.17505184823716,970,71.0,100000.0,Free,0.0,Everyone,Parenting,2018-05-28,2.0,4.0.3
Vegetable Fun,PARENTING,3.9,3182,46.0,1000000.0,Free,0.0,Everyone,Parenting;Education,2018-06-15,8.25.10.00,4.0.3
It's open.,PARENTING,4.4,1528,16.0,100000.0,Free,0.0,Everyone,Parenting,2018-07-24,8.1.2,4.4
Children's Stories 2018 - The Lion Come Lion,PARENTING,4.4,39,18.0,10000.0,Free,0.0,Everyone,Parenting;Music & Video,2017-10-31,1.2,4.0
Feed Baby - Baby Tracker,PARENTING,4.5,76795,18.0,1000000.0,Free,0.0,Everyone,Parenting,2018-08-01,2.0.6,4.1
Weather forecast,WEATHER,4.8,159455,10.0,1000000.0,Free,0.0,Everyone,Weather,2018-05-08,1.11.93,4.4
Live Weather Pro,WEATHER,4.8,892,17.0,10000.0,Free,0.0,Everyone,Weather,2018-07-17,1.1,4.4
weather - weather forecast,WEATHER,4.7,11118,9.7,1000000.0,Free,0.0,Everyone,Weather,2018-04-26,30,4.0
Free live weather on screen,WEATHER,4.4,15370,21.0,1000000.0,Free,0.0,Everyone,Weather,2018-08-02,12.2.6.3660,4.1
Weather Radar Widget,WEATHER,4.3,18194,3.2,1000000.0,Free,0.0,Everyone,Weather,2017-06-28,1.7.7,3.0
